name,location,Business ID,alias,title,rating,review_count,price,latitude,longitude,price_converted
Hendry Vineyard and Winery,"3104 Redwood Rd Napa, CA 94558",mO8n3zTLoFhlmcfQr7X_TQ,wineries,Wineries,5.0,658,$$,38.32168,-122.34481,2
Domaine Carneros,"1240 Duhig Rd Napa, CA 94559",8eGTOeEQpUpYb89ISug3ag,wineries,Wineries,4.0,2239,$$,38.25553421701142,-122.35139091165661,2
Paraduxx Winery,"7257 Silverado Trl Napa, CA 94558",cBFZALrZbLV5XBsiPcgknQ,wineries,Wineries,4.5,373,$$,38.43548,-122.35143,2
Jarvis Winery,"2970 Monticello Rd Napa, CA 94558",NPkAqW68Og5eBofEpPiRXQ,wineries,Wineries,4.5,209,$$$,38.35701,-122.21362,3
White Rock Vineyards,"1112 Loma Vista Dr Napa, CA 94558",shbhrTpVLOdql8hNGC9NDw,wineries,Wineries,5.0,55,$$,38.377683,-122.286565,2
Cuvaison Estate Wines,"1221 Duhig Rd Napa, CA 94559",rjiMUH4UecBVD3wkqhgxXw,wineries,Wineries,4.0,327,$$,38.251176,-122.347084,2
Clos du Val,"5330 Silverado Trl Napa, CA 94558",CKdHGiYJ42pS89r1PDxd2g,wineries,Wineries,4.0,328,$$,38.3872498,-122.3125063,2
William Hill Estate Winery,"1761 Atlas Peak Rd Napa, CA 94558",1ol6_Oxrb3Oq_LSko85BfQ,wineries,Wineries,4.5,186,$$,38.3555817630865,-122.270102462921,2
Shadybrook Estate Winery,"100 Rapp Ln Napa, CA 94558",uELtBkcq7xqAF9970casZw,wineries,Wineries,5.0,179,$$,38.308954,-122.248219,2
Platypus Wine Tours,"182 Camino Oruga Napa, CA 94558",USWs09dJN8fSrVbLZ1gDhQ,winetours,Wine Tours,5.0,896,,38.2283082,-122.2539009,0
Ashes & Diamonds,"4130 Howard Ln Napa, CA 94558",kMGm-nfpM7ihMioPNe4wNQ,wineries,Wineries,4.0,179,$$,38.34425,-122.326284,2
Stag's Leap Wine Cellars,"5766 Silverado Trl Napa, CA 94558",4Nadx95153ze4VrS8AQpMA,winetours,Wine Tours,4.0,487,$$$,38.3983978,-122.3243927,3
Hagafen Cellars,"4160 Silverado Trl Napa, CA 94558",W8IaBhw2-S_ItlOFBH1ilA,wineries,Wineries,4.5,459,$$,38.364751,-122.289435,2
Saintsbury,"1500 Los Carneros Ave Napa, CA 94559",gm0vRczMVOyJV88EnlcCJg,wineries,Wineries,4.5,136,$$,38.24996,-122.32538,2
Chimney Rock Winery,"5350 Silverado Trl Napa, CA 94558",RU1Vj27-jl_cXzLldjKOJg,wineries,Wineries,4.0,308,$$$,38.390201,-122.313843,3
Stags' Leap Winery,"6150 Silverado Trl Napa, CA 94558",bz6MlQQxk5Hy3IFU8SwY3A,wineries,Wineries,4.0,222,$$$,38.415754,-122.318884,3
Trefethen Family Vineyards,"1160 Oak Knoll Ave Napa, CA 94558",PvWarVB1XiBf3YtMjDYoJg,wineries,Wineries,4.5,350,$$,38.3562374223633,-122.322991049978,2
Verve Napa Valley,"Napa, CA 94558",oS0trWApclsXa6G70z9OUQ,winetours,Wine Tours,5.0,41,,38.3177642822266,-122.29174041748,0
Trinitas Cellars,"850 Bordeaux Way Ste 1 Napa, CA 94558",wNnfD8wW3ts6uyXiMSZWkg,wineries,Wineries,4.5,205,$$,38.2471,-122.274639,2
Darioush Winery,"4240 Silverado Trl Napa, CA 94558",I_RKcCl8G0YVrCqXmgYbew,wineries,Wineries,3.5,552,$$$,38.36752,-122.29424,3
Truchard Vineyards,"3234 Old Sonoma Rd Napa, CA 94559",L146DJ8gXekGeJnLzRuuuA,wineries,Wineries,4.5,85,$$,38.289128186648,-122.317485809326,2
Piazza Del Dotto,"7466 St Helena Hwy Napa, CA 94558",pUem3oCj6prFnZFreyeDyw,wineries,Wineries,4.5,74,$$$$,38.422,-122.38811,4
Judd's Hill Winery,"2332 Silverado Trl Napa, CA 94558",M-K51KkDDJJyZSQCW7lUWA,wineries,Wineries,4.5,275,$$,38.3393261000088,-122.27976149046,2
Palmaz Vineyards,"4029 Hagen Rd Napa, CA 94558",dkBVKCKwzyk09VIhWIbONA,wineries,Wineries,5.0,124,$$$,38.323297,-122.235727,3
Porter Family Vineyards,"1189 Green Valley Rd Napa, CA 94558",hODdEauc4S3GEv_5coqQqw,wineries,Wineries,5.0,57,$$$,38.2890722,-122.2273244,3
Roots Run Deep Winery,"1607 First St Napa, CA 94559",elo4bmtk7nf5761zuq2muA,wineries,Wineries,4.5,54,$$,38.297016,-122.291339,2
Monticello Vineyards - Corley Family Napa Valley,"4242 Big Ranch Rd Napa, CA 94558",mX9fBL4mxicdEm4kO3P_ug,wineries,Wineries,4.5,128,$$,38.359204,-122.3106703,2
Kieu Hoang Winery,"1285 Dealy Ln Napa, CA 94559",sOMd4B3yiE_HrKcucHsfXw,wineries,Wineries,4.5,88,$$,38.26739,-122.3487,2
Cornerstone Cellars,"1465 1st St Napa, CA 94559",FICVpmXRcWjQwAe87P9ZqA,wineries,Wineries,4.5,178,$$,38.29734,-122.28893,2
Silverado Vineyards,"6121 Silverado Trl Napa, CA 94558",rMh9PfBpPqN8pEusPYhOvQ,wineries,Wineries,4.0,311,$$,38.412273,-122.336858,2
Signorello Estate,"4500 Silverado Trl Napa, CA 94558",j-e9rmg77oZxjOFE3BWZfw,wineries,Wineries,4.5,142,$$,38.37017,-122.29481,2
O'Brien Estate,"1200 Orchard Ave Napa, CA 94558",Q9nnwLPUI66JovirXricwA,wineries,Wineries,4.5,187,$$,38.3458853537695,-122.33976825643451,2
Laird Family Estate,"5055 Solano Ave Napa, CA 94558",CBgrreBS92t96o8JUg7Flw,wineries,Wineries,4.5,163,$$,38.3539772033691,-122.335693359375,2
Kenzo Estate,"3200 Monticello Rd Napa, CA 94558",wC3Ln2md73EHCiSAj32ugg,wineries,Wineries,4.5,68,$$$,38.354502,-122.204136,3
Silenus Winery,"5225 Solano Ave Napa, CA 94558",fD7VrIMnNQJy5iewJ5_Mng,wineries,Wineries,4.5,121,$$,38.363672,-122.339213,2
Napa Sonoma Wine Tasting Driver ®,"902 Enterprise Way Ste K Napa, CA 94558",PpOjhPCGMObVfnh3-3wAcQ,winetours,Wine Tours,5.0,130,,38.2587139,-122.2717063,0
Etude Wines,"1250 Cuttings Wharf Rd Napa, CA 94559",H_0SOBdmEzzkk9398319TA,wineries,Wineries,4.0,176,$$,38.245847,-122.3150228,2
Eleven Eleven Winery,"620 Trancas St Napa, CA 94558",j8TEOilvSUqT2okhmzO9hA,wineries,Wineries,5.0,36,$$$,38.3249893,-122.286911,3
JaM Cellars,"1460 First St Napa, CA 94559",z31nB1cGHiwJ3MoS9qwEMQ,wineries,Wineries,4.5,162,$$,38.297435,-122.2893433,2
Reynolds Family Winery,"3266 Silverado Trl Napa, CA 94558",vz4XmKow74fr2UpIiAd9VQ,wineries,Wineries,4.0,127,$$,38.3552406,-122.2869398,2
Goosecross Cellars,"1119 State Ln Yountville, CA 94599",tlP1ir-OEzsAYNWJYYNMNg,wineries,Wineries,4.5,387,$$,38.4266242980957,-122.352890014648,2
Caldwell Vineyard,"270 Kreuzer Ln Napa, CA 94559",ldstE5CK2164kL9torc3Gg,wineries,Wineries,5.0,49,$$$,38.2869459,-122.2358185,3
Trahan Winery,"974 Franklin St Napa, CA 94559",SxT6FVxubgyVr5PApCpiWg,wineries,Wineries,4.5,99,$$,38.29745,-122.28838,2
Encanto Vineyards,"1021 McKinstry St Napa Napa, CA 94559",v59bL2jsKfviHRKfgmebog,wineries,Wineries,5.0,2,,38.30111,-122.282289,0
Fontanella Family Winery,"1721 Partrick Rd Napa, CA 94558",ejcIUI5SCZbSTI510uczUw,wineries,Wineries,5.0,52,$$,38.312613,-122.373269,2
Elyse Winery,"2100 Hoffman Ln Napa, CA 94558",-yr50TXHYTwb0iNGzinWfg,wineries,Wineries,4.5,117,$$,38.38361,-122.35451,2
Robert Mondavi Winery,"7801 Saint Helena Hwy Oakville, CA 94562",YEu8EFkgZdW6NXpAAvdVoA,wineries,Wineries,4.0,1097,$$,38.441422,-122.409546,2
Pine Ridge Vineyards,"5901 Silverado Trl Napa, CA 94558",7XaePrZPo7w2HmuJWUtKwA,wineries,Wineries,4.5,307,$$$,38.4047399,-122.33277,3
WineINN & DineINN,"449 Seminary St Napa, CA 94559",Ry8rKQtz98SNW7CXsRweww,winetours,Wine Tours,5.0,5,,38.29204,-122.29214,0
Chandon,"1 California Dr Yountville, CA 94599",6xAxed-Mkvu0Xq5lWzt9Lw,wineries,Wineries,3.5,1449,$$,38.3963745949975,-122.364698011115,2
Odette Estate,"5998 Silverado Trl Napa, CA 94558",Gh67mm_aNPi2UHd3su1jgA,wineries,Wineries,4.0,78,$$,38.40556,-122.32773,2
Mi Sueno Winery,"910 Enterprise Way Ste M Napa, CA 94558",HR7frtjVDOEdtZSSKxMhQg,wineries,Wineries,5.0,34,$$,38.2598016,-122.2720075,2
Hyde Estate Winery,"1044 Los Carneros Ave Napa, CA 94559",Bg5s--7xCdhGQnyuI1WJtQ,wineries,Wineries,5.0,4,,38.253863,-122.330619,0
Robert Sinskey Vineyards,"6320 Silverado Trl Napa, CA 94558",5PZhHJ-GPGO40Uamd7MZGw,wineries,Wineries,4.0,338,$$$,38.425414,-122.337002,3
Scribe Winery,"2100 Denmark St Sonoma, CA 95476",xEIQAkMIM9dBQ9TBWAxj6Q,wineries,Wineries,4.0,322,$$,38.2712839,-122.4230626,2
AvinoDos Wines,"901 Enterprise Way Ste B Napa, CA 94558",RdQxvcdPgMkl__Q7h-7zUw,wineries,Wineries,5.0,24,$$,38.25867,-122.2736,2
Yao Family Wines,"Napa, CA 94559",Pp7Su_2q7VKH0KsqrQe21w,wineries,Wineries,4.5,81,$$,38.2678756713867,-122.24878692627,2
Ceja Vineyards,"1016 Las Amigas Rd Napa, CA 94559",kASFvkVETmxwrl3Li-bOPA,wineries,Wineries,4.5,79,$$,38.23562255391007,-122.31443098305694,2
Baldacci Family Vineyards,"6236 Silverado Trl Napa, CA 94558",cw0CiHgKriffvqOcQFiFeg,wineries,Wineries,4.5,112,$$,38.418323571036034,-122.337243,2
Cakebread Cellars,"8300 St Helena Hwy Rutherford, CA 94573",NY-SXE9i072Qq7h_VZDawg,wineries,Wineries,4.0,788,$$,38.447904,-122.409682,2
McKenzie-Mueller Vineyards and Winery,"2530 Las Amigas Rd Napa, CA 94559",Ynj5_o-bVnaiRKwa6oS-uA,wineries,Wineries,5.0,56,$$,38.23234,-122.33191,2
James Cole Winery,"5014 Silverado Trl Napa, CA 94558",kRu7EKnQqb0u0Yjothl7VA,wineries,Wineries,4.5,130,$$$,38.3707151322414,-122.298978236493,3
Tulocay Winery,"1426 Coombsville Rd Napa, CA 94558",gN1eiK2qVaUMN-kJBELsog,wineries,Wineries,5.0,14,$$,38.2979965209961,-122.258697509766,2
Razi Winery,"3108 Silvarado Trl Napa, CA 94558",LFnfdKMSQgA5KL17WjnwDw,wineries,Wineries,5.0,36,$$,38.349254,-122.283146,2
WeWine Napa,"1625 Trancas St Unit 2244 Napa, CA 94558",7Th8WBELZe-QzSBoy_dulg,winetours,Wine Tours,5.0,10,,38.3215163,-122.3041079,0
Shafer Vineyards,"6154 Silverado Trl Napa, CA 94558",6NfZ7oanPwGauSxZXDz4jw,wineries,Wineries,4.5,45,$$$,38.419881,-122.326894,3
Napa Cellars Tasting Room,"7481 St Helena Hwy Napa, CA 94558",ZHQLF1Huq-m24ZK6FTnXRA,wineries,Wineries,4.5,376,$$,38.421192,-122.390177,2
Hudson Ranch,"5398 Carneros Hwy Napa, CA 94559",nEdwg3yvgmnfZ6-DQwDdNg,wineries,Wineries,5.0,4,,38.264949,-122.365935,0
John Anthony Vineyards,"1440 1st St Tasting Lounge Napa, CA 94559",C0R5urCJk-JSsEP_bIJtnQ,wineries,Wineries,4.5,140,$$,38.2975791,-122.2891414,2
PF Wine Tours,"Napa, CA 94558",MpjwUeWPJWnmdjMRK4gJGA,winetours,Wine Tours,5.0,55,,38.31865,-122.29994,0
"Materra, Cunat Family Vineyards","4326 Big Ranch Rd Napa, CA 94558",G_AQMzXvnQsKWbBYJl-4zA,wineries,Wineries,5.0,43,$$,38.3612027,-122.3118133,2
Robert Biale Vineyards,"4038 Big Ranch Rd Napa, CA 94558",R4uYU5LzpW4dxQKNbcK0ng,winetours,Wine Tours,4.5,125,$$,38.3560694828793,-122.308430671692,2
The Wine Foundry,"45 Enterprise Ct Napa, CA 94558",FMUG_BW33P7xXJt_Pdn2_A,wineries,Wineries,5.0,10,$,38.2603302,-122.2742081,1
Mayacamas Vineyards & Winery,"1155 Lokoya Rd Napa, CA 94558",Fh7tfClmn1Bszw838joEPw,wineries,Wineries,4.5,11,$$$$,38.36518,-122.42326,4
Aonair Wine,"Napa, CA 94558",QGMN5PGHv8A10AO9LL_m2w,wineries,Wineries,5.0,63,$$$,38.3177642822266,-122.29174041748,3
Jacuzzi Family Vineyards,"24724 Arnold Dr Sonoma, CA 95476",u-Ta5s0ZAxyegzCHtWPGzQ,wineries,Wineries,4.0,821,$$,38.21471,-122.453885,2
Quixote Winery,"6126 Silverado Trl Napa, CA 94558",PuOf3pWWbENW-RC3sQ-vfw,wineries,Wineries,4.0,61,$$,38.4181009125607,-122.323620009856,2
Carneros Della Notte,"1003 Dealy Ln Napa, CA 94559",-jZOFauYP5dPtP7UehPjZw,wineries,Wineries,4.5,16,$$,38.2575999,-122.339651,2
Viansa Winery & Marketplace,"25200 Arnold Dr Sonoma, CA 95476",P2CudRXjCSgmxpC4TCiJwA,wineries,Wineries,4.0,624,$$,38.20847,-122.451805,2
Tres Sabores Winery,"1620 S Whitehall Ln Saint Helena, CA 94574",2q5C8DmLFUC-_vLA04kvCg,wineries,Wineries,5.0,126,$$,38.461548,-122.444536,2
Laces and Limos,"2480 Oak St Ste A Napa, CA 94559",8GM7yZiaTNlLL0uZ_cR_Jg,winetours,Wine Tours,5.0,8,,38.295639,-122.2999753,0
Wine Country Drivers,"Napa, CA 94581",jbNbimv4HawSNpTMupGg7A,winetours,Wine Tours,5.0,23,,38.29695,-122.2868,0
Celani Family Vineyards,"2230 Big Ranch Rd Napa, CA 94558",l2F5bF9XDKAhD_Fc_HKO6A,wineries,Wineries,4.5,2,$$$,38.334573,-122.293094,3
Far Niente Winery,"1350 Acacia Dr Oakville, CA 94562",uHwIZd9lmT56tMP_nd6F_w,wineries,Wineries,4.5,162,$$$,38.424479,-122.404132,3
Luna Vineyards,"2921 Silverado Trl Napa, CA 94558",6ggJeMWJyoproJMlmzlZBQ,wineries,Wineries,3.5,230,$$,38.34508,-122.28384,2
Cornerstone Cellars,"850 Bordeaux Way Ste 6 Napa, CA 94558",iouQNhgizPClznxlgrhaaw,wineries,Wineries,4.5,7,,38.2474144,-122.2720766,0
Opus One Winery,"7900 St Helena Hwy Oakville, CA 94562",XPh3ZBqxA3tldU_-_6KHFg,wineries,Wineries,3.5,465,$$$$,38.4414391100535,-122.399720296699,4
Beau Wine Tours & Limousine Service,"1754 2nd St Ste B Napa, CA 94559",m9AghieXt2oaQAEIkKTyXQ,winetours,Wine Tours,4.5,349,,38.296694,-122.2924582,0
Napa Private Tours,"1052 Shetler Ave Napa, CA 94559",ncAjM4gkobRt4MCFioBBSw,winetours,Wine Tours,5.0,60,,38.28276,-122.27123,0
Madorom Vineyards,"2340 Silverado Trl Napa, CA 94558",C9-C9pwHnsb5gGxE1-la9Q,wineries,Wineries,5.0,3,$$,38.340156,-122.281946,2
Silver Oak - Oakville,"915 Oakville Cross Rd Oakville, CA 94562",Zumm3-xGQ3Nud-R1YvydCA,wineries,Wineries,4.0,489,$$$,38.4404422,-122.3809788,3
Inglenook,"1991 St Helena Hwy Rutherford, CA 94573",9hPBXzNpGYvxaI0lDJrJ6w,wineries,Wineries,4.0,367,$$$,38.458392,-122.423796,3
The Caves at Soda Canyon,"2275 Soda Canyon Rd Napa, CA 94558",Q9POpvNouEmBWx6vT8w9Yw,wineries,Wineries,4.5,10,$$$,38.401433,-122.30133,3
Madonna Estate,"5400 Old Sonoma Rd Napa, CA 94559",YxBLqDuO4FSIm5QExHWPBg,wineries,Wineries,3.5,173,$$,38.2556419372559,-122.341018676758,2
Whetstone Wine Cellars,"1075 Atlas Peak Rd Napa, CA 94558",ZdP7vvVoMe2d68FndNlmgQ,wineries,Wineries,4.5,87,$$,38.3393115,-122.2623851,2
Grgich Hills Estate,"1829 St Helena Hwy Rutherford, CA 94573",6zcB6zokx3LdfaHPIc8s_Q,wineries,Wineries,4.0,589,$$,38.465419,-122.428989,2
PlumpJack Winery,"620 Oakville Cross Rd Oakville, CA 94562",pWIKdVb0VOoPHxBP0SAb9w,wineries,Wineries,3.5,179,$$,38.455434,-122.374111,2
Lewis Cellars,"4101 Big Ranch Rd Napa, CA 94558",emW_LuDDwbiX3iz3rfwmwA,wineries,Wineries,4.5,13,$$$$,38.351246,-122.307404,4
Larson Family Winery,"23355 Millerick Rd Sonoma, CA 95476",Mq_fixpIw3lu__ykB3hMnQ,wineries,Wineries,4.5,566,$$,38.2361999,-122.4483,2
Rocca Family Vineyards Tasting Room,"129 Devlin Rd Napa, CA 94558",4vw1Yemztf-PQH6YEpWmpQ,wineries,Wineries,4.5,12,$$,38.23821,-122.26942,2
All Day Wine Tours,"Napa, CA 94558",OT5sd_SArXGo8Si-xdtKQQ,winetours,Wine Tours,5.0,24,,38.32923889160156,-122.2959213256836,0
Prime Cellars,"974 Franklin St Napa, CA 94559",y-eh93-FKhMvlU8Cj6MHuQ,wineries,Wineries,5.0,31,$$,38.2973361393272,-122.288313821426,2
Beaulieu Vineyard,"1960 Saint Helena Hwy Rutherford, CA 94573",Av_UWwtKRBLJkL9T5GYPOA,wineries,Wineries,4.0,412,$$,38.46016,-122.423291,2
Hamel Family Wines,"15401 Sonoma Hwy Sonoma, CA 95476",FiJVwo9-E74VLpi5XpKX5g,wineries,Wineries,4.5,97,$$$,38.3458142305308,-122.494017806885,3
T3 - Tesla Tours & Transportation,"952 School St Ste 252 Napa, CA 94559",XeS29YWAoCOwe6jP-kqTaA,winetours,Wine Tours,4.5,24,,38.2968914,-122.2889887,0
Sciandri Family Vineyards,"50 Kreuse Canyone Dr Napa Valley, CA 94559",E3n9oNbpHCSKg652QMwDCg,wineries,Wineries,5.0,7,$$$,38.281436,-122.23796,3
Gundlach Bundschu Winery,"2000 Denmark St Sonoma, CA 95476",Tl7D5crViVQnXFA1eL2sAQ,wineries,Wineries,4.0,567,$$,38.27853,-122.42058,2
Napa Valley Wine Trolley,"1754 2nd St Ste B1 Napa, CA 94559",OCq_kYHmhBhXx_cMb0BV5w,winetours,Wine Tours,4.0,143,,38.2967254900593,-122.289325989441,0
Robert Craig Winery Tasting Salon,"625 Imperial Way Napa, CA 94559",cFR5QwgKm2GyEMRsmw_eQg,wineries,Wineries,4.5,54,$$,38.30657,-122.28252,2
B Cellars Vineyards & Winery,"703 Oakville Cross Rd Oakville, CA 94558",L9vSIsnpAskQGRhUz_vdqg,wineries,Wineries,5.0,157,$$,38.449864,-122.373264,2
St. Supery Estate Vineyards & Winery,"8440 St Helena Hwy Rutherford, CA 94573",Z0fYtkNluub2edL0-dhlxg,wineries,Wineries,4.0,461,$$,38.4551318502323,-122.414560554116,2
Nickel & Nickel,"8164 St Helena Hwy Oakville, CA 94558",iYWNb8o9AuKEKpuiAiKQvw,wineries,Wineries,4.5,130,$$$,38.443243,-122.406763,3
Covert Estate,"15 Chateau Ln Napa, CA 94558",eIQWrVyb1l2iqNcmXXen0Q,wineries,Wineries,5.0,4,,38.307445,-122.247464,0
Napa Bee Driven,"Napa, CA 94558",_sGfjVSoD2CsuS2e2ddgDg,winetours,Wine Tours,5.0,55,,38.291168,-122.286279,0
Antica Napa Valley,"3700 Soda Canyon Rd Napa, CA 94558",8n4fUXqLg-Y5Rj3LnAoW6Q,wineries,Wineries,5.0,8,$$$,38.427937,-122.274933,3
Wine Country Safari,"1876 Brown St Napa, CA 94559",XJlD7EBaB7BW9q7GONvh0g,winetours,Wine Tours,5.0,9,,38.305503,-122.2915887,0
Holman Cellars,"918 Enterprise Way Ste G Napa, CA 94558",XWi1gDixb2qSBkKJm63T0Q,wineries,Wineries,5.0,38,$$,38.259432,-122.274448,2
Amuse Bouche Winery,"1130 Main St Napa, CA 94559",dPFz1ert17m4U7pHwsN4wg,wineries,Wineries,4.5,3,$$$,38.30039,-122.286039,3
Italics Winegrowers,"40 Rapp Ln Napa, CA 94558",XfqpcUew8dHgPjdikRWm-Q,wineries,Wineries,5.0,14,$$$,38.3137,-122.250615,3
Maritas Vineyard,"2055 N Ave Napa, CA 94558",S9KcAPfjNofMhmQ3MfU2XQ,wineries,Wineries,5.0,9,$$$,38.302154,-122.249869,3
Falcor Winery,"2511 Napa Valley Corporate Dr Ste 115 Napa, CA 94558",F2rPBR2c_eO7-D0p3UxT3g,wineries,Wineries,4.5,70,$$,38.25603,-122.276279,2
Gloria Ferrer Winery,"23555 Arnold Dr Sonoma, CA 95476",EiFXC3xjTpx2Ja6GrvwgXQ,wineries,Wineries,4.0,836,$$,38.223832,-122.472276,2
Havens Winery,"1004 Clinton St Napa, CA 94558",FDkYT4QfX4NEpH5NsoiVVQ,wineries,Wineries,4.5,8,$$$,38.301274,-122.2874659,3
We Drive Your Car Napa Valley,"947 Lincoln Ave Napa, CA 94558",CgsuUrYGrQsTC3IIFPXlQg,winetours,Wine Tours,5.0,12,,38.3088677,-122.2917507,0
Fortunati Vineyards,"986 Salvador Ave Napa, CA 94558",wOVo-DHunhkrQymOEg4QvQ,wineries,Wineries,4.5,14,$$,38.34905,-122.30949,2
Promontory Winery,"1601 Oakville Grade Oakville, CA 94562",CAf8TqSPE_wqmnaOSMb45w,wineries,Wineries,5.0,15,$$$$,38.4208658,-122.4149621,4
Buena Vista Winery,"18000 Old Winery Rd Sonoma, CA 95476",zCwt1XcmhfwsbQYgYPpUGA,wineries,Wineries,4.0,449,$$,38.299502,-122.421942,2
Oakville Ranch Vineyards,"7781 Silverado Trl Napa, CA 94558",5WgvpoEa_Bqvnz9S4gKdjQ,wineries,Wineries,5.0,3,$$,38.4610071602159,-122.358888437234,2
Wine Tour Drivers,"Napa, CA 94559",VOsMui5A1DLINVsvkhRmww,winetours,Wine Tours,5.0,72,,38.291542053222656,-122.28694152832031,0
Wine Tasting Driver,"4225 Solano Ave Ste 736 Napa, CA 94558",01J1xPoBSbi_VM6HaH_4XA,winetours,Wine Tours,5.0,18,,38.3364765,-122.3229962,0
Robledo Family Winery,"21901 Bonness Rd Sonoma, CA 95476",EyvLSq609Cyy-sRXv3te_w,wineries,Wineries,4.5,217,$$,38.24739263290604,-122.48350054331848,2
